1	C	216	A	431	C	646	B
2	B	217	C	432	C	647	B
3	B	218	A	433	D	648	A
4	A	219	A	434	C	649	C
5	A	220	B	435	D	650	C
6	B	221	D	436	B	651	B
7	D	222	A	437	A	652	D
8	A	223	A	438	B	653	B
9	B	224	B	439	B	654	B
10	D	225	A	440	D	655	C
11	A	226	A	441	A	656	B
12	A	227	A	442	B	657	D
13	C	228	D	443	D	658	B
14	D	229	B	444	B	659	D
15	B	230	A	445	B	660	A
16	A	231	C	446	D	661	D
17	C	232	A	447	B	662	C
18	D	233	A	448	A	663	B
19	B	234	C	449	B	664	A
20	A	235	D	450	A	665	B
21	A	236	A	451	A	666	A
22	B	237	D	452	A	667	D
23	A	238	A	453	B	668	C
24	B	239	C	454	B	669	A
25	A	240	A	455	D	670	B
26	B	241	D	456	D	671	C
27	D	242	A	457	C	672	C
28	D	243	D	458	B	673	C
29	B	244	C	459	A	674	D
30	C	245	D	460	D	675	D
31	B	246	C	461	C	676	B
32	C	247	D	462	B	677	D
33	D	248	C	463	C	678	C
34	A	249	A	464	A	679	C
35	B	250	D	465	D	680	C
36	A	251	B	466	C	681	D
37	A	252	C	467	D	682	B
38	B	253	B	468	B	683	C
39	A	254	D	469	D	684	B
40	A	255	D	470	C	685	D
41	A	256	C	471	C	686	A
42	A	257	A	472	A	687	D
43	B	258	C	473	D	688	D
44	A	259	C	474	D	689	B
45	C	260	D	475	C	690	B
46	A	261	C	476	B	691	A
47	D	262	C	477	D	692	D
48	B	263	D	478	C	693	B
49	D	264	D	479	C	694	B
50	D	265	A	480	D	695	A
51	C	266	A	481	D	696	C
52	D	267	D	482	D	697	D
53	D	268	A	483	B	698	C
54	A	269	E	484	B	699	C
55	D	270	D	485	D	700	A
56	A	271	E	486	C	701	A
57	C	272	D	487	B	702	E
58	B	273	B	488	B	703	C
59	D	274	C	489	C	704	C
60	D	275	E	490	B	705	D
61	B	276	B	491	C	706	A
62	D	277	B	492	D	707	E
63	D	278	D	493	A	708	D
64	B	279	B	494	B	709	B
65	C	280	A	495	D	710	B
66	C	281	B	496	B	711	D
67	B	282	B	497	D	712	C
68	D	283	B	498	C	713	A
69	B	284	A	499	A	714	A
70	D	285	D	500	B	715	D
71	D	286	A	501	B	716	C
72	D	287	C	502	D	717	C
73	D	288	A	503	A	718	B
74	C	289	D	504	B	719	D
75	A	290	A	505	D	720	A
76	C	291	B	506	A	721	B
77	D	292	D	507	B	722	D
78	C	293	B	508	A	723	D
79	C	294	C	509	D	724	B
80	D	295	A	510	B	725	D
81	A	296	B	511	D	726	E
82	A	297	A	512	C	727	D
83	A	298	C	513	A	728	C
84	D	299	A	514	D	729	B
85	B	300	D	515	A	730	C
86	A	301	B	516	B	731	A
87	C	302	D	517	A	732	E
88	C	303	A	518	D	733	C
89	A	304	C	519	B	734	E
90	C	305	C	520	A	735	B
91	A	306	D	521	B	736	E
92	D	307	C	522	C	737	D
93	D	308	D	523	D	738	A
94	B	309	B	524	C	739	C
95	C	310	A	525	A	740	D
96	A	311	A	526	C	741	A
97	B	312	A	527	A	742	E
98	C	313	C	528	B	743	B
99	C	314	D	529	A	744	E
100	B	315	D	530	A	745	C
101	B	316	B	531	D	746	C
102	B	317	C	532	D	747	B
103	C	318	C	533	B	748	E
104	C	319	A	534	B	749	C
105	B	320	C	535	D	750	D
106	B	321	D	536	B	751	E
107	C	322	B	537	B	752	D
108	B	323	D	538	C	753	A
109	C	324	D	539	A	754	D
110	B	325	A	540	D	755	D
111	C	326	B	541	A	756	A
112	B	327	A	542	C	757	C
113	B	328	B	543	D	758	E
114	D	329	A	544	C	759	E
115	B	330	A	545	B	760	A
116	B	331	A	546	B	761	C
117	B	332	D	547	B	762	A
118	B	333	B	548	A	763	D
119	B	334	A	549	C	764	C
120	B	335	D	550	B	765	C
121	D	336	B	551	B	766	B
122	B	337	C	552	B	767	B
123	B	338	B	553	A	768	A
124	B	339	D	554	B	769	D
125	B	340	B	555	A	770	D
126	C	341	A	556	C	771	A
127	C	342	B	557	D	772	C
128	B	343	B	558	A	773	D
129	B	344	B	559	C	774	A
130	B	345	B	560	B	775	B
131	B	346	B	561	C	776	D
132	B	347	C	562	A	777	C
133	B	348	A	563	B	778	B
134	B	349	B	564	B	779	D
135	A	350	A	565	C	780	C
136	B	351	C	566	B	781	A
137	B	352	C	567	C	782	B
138	A	353	A	568	B	783	C
139	B	354	C	569	C	784	A
140	B	355	A	570	B	785	C
141	D	356	A	571	B	786	B
142	B	357	C	572	B	787	C
143	B	358	A	573	B	788	A
144	C	359	B	574	B	789	C
145	A	360	A	575	B	790	D
146	B	361	D	576	A	791	C
147	B	362	B	577	C	792	B
148	B	363	B	578	A	793	D
149	B	364	B	579	B	794	A
150	B	365	A	580	B	795	B
151	B	366	B	581	A	796	C
152	A	367	B	582	A	797	D
153	B	368	B	583	B	798	B
154	B	369	A	584	D	799	C
155	A	370	C	585	C	800	A
156	C	371	C	586	B	801	B
157	B	372	B	587	A	802	C
158	B	373	B	588	A	803	D
159	B	374	B	589	B	804	A
160	B	375	B	590	B	805	B
161	C	376	A	591	B	806	C
162	C	377	D	592	C	807	D
163	C	378	D	593	B	808	B
164	D	379	C	594	B	809	C
165	A	380	C	595	B	810	B
166	D	381	C	596	B	811	D
167	B	382	D	597	B	812	A
168	D	383	B	598	B	813	B
169	C	384	D	599	B	814	C
170	A	385	A	600	B	815	A
171	B	386	B	601	C	816	D
172	B	387	C	602	A	817	B
173	B	388	B	603	B	818	A
174	A	389	C	604	C	819	B
175	A	390	D	605	B	820	D
176	B	391	D	606	C	821	E
177	C	392	D	607	B	822	A
178	D	393	A	608	C	823	E
179	C	394	B	609	A	824	A
180	D	395	C	610	C	825	B
181	B	396	C	611	C	826	C
182	D	397	A	612	C	827	D
183	D	398	A	613	A	828	B
184	C	399	A	614	C	829	D
185	B	400	A	615	B	830	B
186	D	401	B	616	A	831	B
187	D	402	D	617	C	832	D
188	D	403	A	618	C	833	D
189	A	404	D	619	C	834	C
190	D	405	C	620	B	835	D
191	B	406	C	621	B	836	A
192	A	407	D	622	C	837	C
193	A	408	D	623	B	838	D
194	D	409	D	624	B	839	D
195	C	410	B	625	D	840	C
196	A	411	C	626	A	841	A
197	B	412	A	627	B	842	A
198	B	413	A	628	D	843	E
199	A	414	C	629	C	844	A
200	B	415	B	630	B	845	D
201	D	416	C	631	C	846	D
202	B	417	B	632	B	847	D
203	A	418	B	633	B	848	D
204	C	419	D	634	C	849	C
205	B	420	D	635	C	850	D
206	B	421	C	636	C	851	B
207	C	422	C	637	B	852	A
208	B	423	B	638	B	853	A
209	B	424	C	639	B	854	A
